Data;SOMA
2017-12-01;0
2017-12-02;0
2017-12-03;0
2017-12-04;1.740734466
2017-12-05;0.189898305
2017-12-06;0
2017-12-07;0
2017-12-08;0
2017-12-09;0
2017-12-10;0
2017-12-11;1.265988702
2017-12-12;0
2017-12-13;0
2017-12-14;0
2017-12-15;0
2017-12-16;0
2017-12-17;0.063299435
2017-12-18;0.031649718
2017-12-19;0
2017-12-20;0
2017-12-21;0.727943503
2017-12-22;1.55083616
2017-12-23;0
2017-12-24;1.29763842
2017-12-25;0
2017-12-26;0
2017-12-27;0
2017-12-28;0
2017-12-29;0
2017-12-30;0
2017-12-31;0
2018-01-01;0
2018-01-02;0
2018-01-03;0.538045199
2018-01-04;0
2018-01-05;0
2018-01-06;0
2018-01-07;0
2018-01-08;0
2018-01-09;0
2018-01-10;0
2018-01-11;2.500327687
2018-01-12;0.854542374
2018-01-13;0
2018-01-14;0
2018-01-15;0
2018-01-16;0.031649718
2018-01-17;0
2018-01-18;0
2018-01-19;0
2018-01-20;0
2018-01-21;0.063299435
2018-01-22;1.455887008
2018-01-23;0
2018-01-24;0
2018-01-25;0
2018-01-26;0.063299435
2018-01-27;0
2018-01-28;0
2018-01-29;0
2018-01-30;0
2018-01-31;0
2018-02-01;0.063299435
2018-02-02;0
2018-02-03;2.342079099
2018-02-04;0
2018-02-05;0
2018-02-06;2.215480229
2018-02-07;0
2018-02-08;0.158248588
2018-02-09;0.063299435
2018-02-10;0.063299435
2018-02-11;0
2018-02-12;0
2018-02-13;0
2018-02-14;0
2018-02-15;0.12659887
2018-02-16;0.031649718
2018-02-17;0.12659887
2018-02-18;0.221548023
2018-02-19;0.12659887
2018-02-20;0
2018-02-21;0.253197741
2018-02-22;0.189898305
2018-02-23;0
2018-02-24;1.202689267
2018-02-25;0
2018-02-26;0
2018-02-27;0
2018-02-28;0
2018-03-01;1.867333335
2018-03-02;0
2018-03-03;0
2018-03-04;0
2018-03-05;0
2018-03-06;0.759593221
2018-03-07;0.949491526
2018-03-08;0.063299435
2018-03-09;0
2018-03-10;0
2018-03-11;0
2018-03-12;0.189898305
2018-03-13;0.094949153
2018-03-14;0
2018-03-15;0
2018-03-16;0
2018-03-17;0
2018-03-18;0
2018-03-19;0
2018-03-20;0
2018-03-21;0
2018-03-22;0
2018-03-23;0
2018-03-24;0
2018-03-25;0
2018-03-26;0
2018-03-27;0.348146893
2018-03-28;0.664644068
2018-03-29;0.538045199
2018-03-30;0
2018-03-31;0